PROGRES PENDATAAN - USAHA KELUARGA,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,
,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),JUMLAH USAHA KELUARGA MENURUT STATUS KEBERADAAN USAHA,,,,,Jumlah Usaha dalam Keluarga
,,Ditemukan,Tutup,Ganda,Tidak Ditemukan,Baru,
-1,-2,-3,-4,-5,-6,-7,-8
"6,10408E+15",RT 003 RW 04 DUSUN COKLAT,13,0,0,0,9,22
61040800030034,RT 001 RW 09 DUSUN PALAWIJA,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 09 DUSUN PALAWIJA,0,0,0,0,0,0
61040800030035,RT 002 RW 09 DUSUN PALAWIJA,56,33,1,3,24,80
"6,10408E+15",RT 002 RW 09 DUSUN PALAWIJA,56,33,1,3,24,80
61040800030036,RT 003 RW 09 DUSUN PALAWIJA,48,27,0,10,4,52
"6,10408E+15",RT 003 RW 09 DUSUN PALAWIJA,48,27,0,10,4,52
61040800030037,RT 004 RW 09 DUSUN PALAWIJA,29,2,0,7,6,35
"6,10408E+15",RT 004 RW 09 DUSUN PALAWIJA,29,2,0,7,6,35
61040800030038,RT 001 RW 10 DUSUN PALAWIJA,2,1,0,0,0,2
"6,10408E+15",RT 001 RW 10 DUSUN PALAWIJA,2,1,0,0,0,2
61040800030039,RT 002 RW 10 DUSUN PALAWIJA,0,0,0,0,0,0
"6,10408E+15",RT 002 RW 10 DUSUN PALAWIJA,0,0,0,0,0,0
61040800030040,RT 003 RW 10 DUSUN PALAWIJA,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 10 DUSUN PALAWIJA,0,0,0,0,0,0
61040800030041,RT 004 RW 003 DUSUN COKLAT,27,15,0,0,33,60
"6,10408E+15",RT 004 RW 003 DUSUN COKLAT,27,15,0,0,33,60
61040800031006,KEBUN SAWIT,0,0,0,0,0,0
"6,10408E+15",KEBUN SAWIT,0,0,0,0,0,0
61040800031007,PERKEBUNAN SAWIT,0,0,0,0,0,0
"6,10408E+15",PERKEBUNAN SAWIT,0,0,0,0,0,0
61040800032001,HUTAN,0,0,0,0,0,0
"6,10408E+15",HUTAN,0,0,0,0,0,0
61040800032002,PULAU PANJANG,0,0,0,0,0,0
"6,10408E+15",PULAU PANJANG,0,0,0,0,0,0
61040800032003,PULAU BABI,0,0,0,0,0,0
"6,10408E+15",PULAU BABI,0,0,0,0,0,0
61040800032004,PULAU BUMIN,0,0,0,0,0,0
"6,10408E+15",PULAU BUMIN,0,0,0,0,0,0
61040800032005,PULAU BARU,0,0,0,0,0,0
"6,10408E+15",PULAU BARU,0,0,0,0,0,0
6104080004,WAJOK HULU,315,199,16,55,241,556
61040800040001,RT 002 RW 12 DUSUN BRAHIMA,0,3,0,1,2,2
"6,10408E+15",RT 002 RW 12 DUSUN BRAHIMA,0,3,0,1,2,2
61040800040002,RT 003 RW 04 DUSUN BRAHIMA,0,0,0,0,0,0
"6,10408E+15",RT 003 RW 04 DUSUN BRAHIMA,0,0,0,0,0,0
61040800040003,RT 001 RW 04 DUSUN BRAHIMA,3,1,0,0,8,11
