PROGRES PENDATAAN - USAHA/PERUSAHAAN,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.00 | Dicetak: 20 Jul 2026, 20.43",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Jumlah Prelist Usaha,JUMLAH USAHA BKU MENURUT STATUS KEBERADAAN USAHA,,,,,,,,,,Jumlah Usaha BKU,Persentase Usaha BKU
,,,Ditemukan,Persentase Ditemukan,Tutup,Persentase Tutup,Ganda,Persentase Ganda,Tidak Ditemukan,Persentase Tidak Ditemukan,Baru,Persentase Baru,,
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15
"6,10408E+15",RT 003 RW 007 DUSUN PANGSUMA,10,0,0,0,0,0,0,0,0,0,0,0,0
61040800020036,RT 004 RW 007 DUSUN PANGSUMA,10,0,0,0,0,0,0,0,0,4,40,4,40
"6,10408E+15",RT 004 RW 007 DUSUN PANGSUMA,10,0,0,0,0,0,0,0,0,4,40,4,40
61040800020037,RT 005 RW 007 DUSUN PANGSUMA,5,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 005 RW 007 DUSUN PANGSUMA,5,0,0,0,0,0,0,0,0,0,0,0,0
61040800020038,RT 001 RW 008 DUSUN ALIANYANG,3,0,0,0,0,0,0,0,0,0,0,0,0
"6,10408E+15",RT 001 RW 008 DUSUN ALIANYANG,3,0,0,0,0,0,0,0,0,0,0,0,0
61040800020039,RT 002 RW 008 DUSUN ALIANYANG,7,1,"14,29",0,0,0,0,3,"42,86",0,0,1,"14,29"
"6,10408E+15",RT 002 RW 008 DUSUN ALIANYANG,7,1,"14,29",0,0,0,0,3,"42,86",0,0,1,"14,29"
61040800020040,RT 003 RW 008 DUSUN ALIANYANG,3,0,0,0,0,0,0,3,100,0,0,0,0
