PROGRES PEMUTAKHIRAN KELUARGA - KELUARGA,,,,,,,,,,,,,,,,
"Seluruh data sampai Sub Satuan Lingkungan Setempat (Sub-SLS) | Sumber: FASIH Pendataan SE 2026 | Diperbarui: 20 Jul 2026, 18.16 | Dicetak: 20 Jul 2026, 20.23",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kode,Sub Satuan Lingkungan Setempat (Sub-SLS),Prelist Awal,Ditemukan,Persentase Ditemukan,Keluarga Baru,Meninggal,Persentase Meninggal,Tidak Eligible,Persentase Tidak Eligible,Tidak Dapat Ditemui Sampai Akhir Pendataan,Persentase Tidak Dapat Ditemui Sampai Akhir Pendataan,Tidak Ditemukan,Persentase Tidak Ditemukan,Keluarga Khusus,Total Hasil Pendataan ((4) + (5)),Persentase Total Hasil Pendataan ((4) + (5))
6104080002004900,RT 002 RW 010 DUSUN RADEN TAUFIK,111,26,"23,42",4,0,0,0,0,0,0,24,"21,62",0,30,"27,03"
61040800020050,RT 003 RW 010 DUSUN RADEN TAUFIK,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104080002005000,RT 003 RW 010 DUSUN RADEN TAUFIK,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61040800020051,RT 004 RW 010 DUSUN RADEN TAUFIK,72,53,"73,61",7,3,"4,17",0,0,0,0,11,"15,28",0,60,"83,33"
6104080002005100,RT 004 RW 010 DUSUN RADEN TAUFIK,72,53,"73,61",7,3,"4,17",0,0,0,0,11,"15,28",0,60,"83,33"
61040800020052,RT 005 RW 010 DUSUN RADEN TAUFIK,60,27,45,0,0,0,0,0,0,0,1,"1,67",0,27,45
6104080002005200,RT 005 RW 010 DUSUN RADEN TAUFIK,60,27,45,0,0,0,0,0,0,0,1,"1,67",0,27,45
61040800020053,RT 001 RW 011 DUSUN RADEN TAUFIK,99,70,"70,71",0,12,"12,12",0,0,0,0,11,"11,11",0,70,"70,71"
6104080002005300,RT 001 RW 011 DUSUN RADEN TAUFIK,99,70,"70,71",0,12,"12,12",0,0,0,0,11,"11,11",0,70,"70,71"
61040800020054,RT 002 RW 11 DUSUN RADEN TAUFIK,96,45,"46,88",2,4,"4,17",0,0,0,0,1,"1,04",0,47,"48,96"
6104080002005400,RT 002 RW 11 DUSUN RADEN TAUFIK,96,45,"46,88",2,4,"4,17",0,0,0,0,1,"1,04",0,47,"48,96"
61040800020055,RT 001 RW 01 DUSUN RAHADI USMAN,82,13,"15,85",1,0,0,0,0,0,0,10,"12,2",0,14,"17,07"
6104080002005500,RT 001 RW 01 DUSUN RAHADI USMAN,82,13,"15,85",1,0,0,0,0,0,0,10,"12,2",0,14,"17,07"
61040800020056,RT 002 RW 01 DUSUN RAHADI USMAN,36,0,0,0,5,"13,89",0,0,0,0,4,"11,11",0,0,0
6104080002005600,RT 002 RW 01 DUSUN RAHADI USMAN,36,0,0,0,5,"13,89",0,0,0,0,4,"11,11",0,0,0
61040800020057,RT 003 RW 01 DUSUN RAHADI USMAN,58,0,0,0,0,0,0,0,0,0,3,"5,17",0,0,0
6104080002005700,RT 003 RW 01 DUSUN RAHADI USMAN,58,0,0,0,0,0,0,0,0,0,3,"5,17",0,0,0
61040800020058,RT 001 RW 15 DUSUN RAHADI USMAN,63,40,"63,49",9,2,"3,17",0,0,0,0,21,"33,33",0,49,"77,78"
